key,name,ticker,date,error_code,return_3days,return_30days,return_60days,return_90days
41832,CDI Corp. (NYSE:CDI),NYSE:CDI,2001-07-29 11:00:00,DATE_ERROR
41833,"MoneyGram International, Inc. (NASDAQ:MGI)",NASDAQ:MGI,2010-07-30 09:00:00,,-0.086511716351054452,-0.25933305402094348,-0.28764906503807397,-0.28482692372263091
41834,Aon Corporation (NYSE:AON),NYSE:AON,2010-07-30 08:30:00,,0.010532473861584013,0.024996740869670304,0.030838807022491387,0.079019939980439269
41835,America Service Group Inc. (NASDAQ:ASGR),NASDAQ:ASGR,2010-07-30 11:00:00,BETA_ERROR
41836,"BioScrip, Inc. (NASDAQ:BIOS)",NASDAQ:BIOS,2010-07-30 20:30:00,,-0.37134121246025847,-0.20482207704818442,-0.20563223506956807,-0.45518517488171006
41837,ITT (NYSE:ITT),NYSE:ITT,2010-07-30 09:00:00,,-0.096573829652488022,-0.089900434564915865,-0.11175018041505994,-0.14476415807346746
41838,Merck & Co. (NYSE:MRK),NYSE:MRK,2010-07-30 08:00:00,,-0.0083097960775329743,0.041474792985873803,0.031555017666084109,-0.039483223407912771
41839,"American Electric Power Company, Inc. (NYSE:AEP)",NYSE:AEP,2010-07-30 09:00:00,,-0.021261329687812493,0.020783372641339479,-0.029108086307652166,-0.065904194659328438
41840,CONSOL Energy (NYSE:CNX),NYSE:CNX,2010-07-29 10:00:00,,-0.020010583102717559,-0.10135571892699656,-0.10877966132288415,-0.021014886550918294
41841,Goodrich (NYSE:GR),NYSE:GR,2010-07-29 10:00:00,BETA_ERROR
41842,Avon Products (NYSE:AVP),NYSE:AVP,2010-07-29 09:00:00,,0.050889198634425883,0.052357107413111684,0.083404370636602762,-0.10787285637851673
41843,Crown Castle International (NYSE:CCI),NYSE:CCI,2010-07-29 10:30:00,,0.03208288959078523,0.081587689759670401,0.014182995607886675,-0.01264829863526197
41844,Raytheo (NYSE:RTN),NYSE:RTN,2010-07-29 09:30:00,,-0.059120374949376941,-0.056425821041143305,-0.062273759508651758,-0.085969630009038567
41845,"Becton, Dickinson and (NYSE:BDX)",NYSE:BDX,2010-07-29 10:00:00,,0.022263156611873718,0.043122059795002339,0.087235542423535095,0.11724192954426647
41846,KBR (NYSE:KBR),NYSE:KBR,2010-07-29 11:00:00,,0.021143912914835004,0.093814190621012677,0.025941841625636355,0.15427219710822687
41847,National Oilwell Varco (NYSE:NOV),NYSE:NOV,2010-07-29 09:00:00,,0.079542925737347114,0.074346605160779428,0.19702256196881537,0.53590869684378928
